productName,shortName,productPrice
system,s,25076883.12
material,m,98063290.27
boy,boy,79514623.21
similar,s,95922068.29
sport,s,81626363.83
end,end,88055215.58
around,a,74120292.37
represent,r,1579800.04
single,s,65349742.71
wish,wish,9539410.96
hand,hand,65930327.0
idea,idea,71280096.56
teacher,t,30665613.75
line,line,83670232.56
tree,tree,78090714.64
show,show,59830174.85
field,f,56505792.56
former,f,55859389.48
tax,tax,41416771.87
heavy,h,86361192.11
road,road,20868112.01
suggest,s,99366762.38
become,b,25235081.08
able,able,33553445.47
training,t,70209276.79
degree,d,70981825.77
board,b,25071227.03
particularly,p,11225839.93
perhaps,p,9706491.91
this,this,12793600.02
dog,dog,60908311.5
turn,turn,42347519.33
somebody,s,98136517.63
today,t,66630633.0
task,task,43660027.59
happy,h,59816984.74
charge,c,15826934.31
smile,s,34019330.93
point,p,32775917.83
individual,i,54439740.23
box,box,79983261.46
hit,hit,24133897.08
across,a,65001338.42
kid,kid,49516156.56
officer,o,7176549.32
give,give,67898232.11
right,r,25062814.96
modern,m,67901544.29
official,o,26546341.23
event,e,30547085.13
ready,r,19926209.4
lead,lead,20959324.67
responsibility,r,61309085.1
anything,a,17720382.45
knowledge,k,77627390.32
draw,draw,47988831.87
difficult,d,51794770.27
remain,r,99681.77
successful,s,1546043.03
first,f,27175609.84
contain,c,70559840.12
second,s,10205134.13
seat,seat,67470234.2
focus,f,55655624.21
prevent,p,92450136.85
radio,r,87361136.58
try,try,1501035.2
sometimes,s,45637671.59
court,c,94829297.83
key,key,10597146.78
trial,t,42905962.53
south,s,29233843.25
grow,grow,88837172.83
join,join,37669265.8
between,b,86713674.55
thank,t,78285825.73
image,i,93410650.71
exist,e,95896241.86
rather,r,60875262.23
defense,d,61758575.3
city,city,6222016.89
green,g,68063189.97
book,book,31788565.96
great,g,8561856.82
test,test,85806611.39
there,t,42085103.86
policy,p,68930301.27
edge,edge,36061941.57
score,s,62344319.48
type,type,99844506.87
floor,f,61362158.69
keep,keep,76844870.29
personal,p,12372137.64
public,p,79180309.22
perform,p,1643904.31
technology,t,73384790.05
sing,sing,4908166.08
truth,t,20388182.15
story,s,93901221.6
else,else,34979377.04
up,up,8162687.91
effort,e,36375497.04
human,h,98349867.87
lay,lay,17091479.07
mission,m,48671343.48
sense,s,20567446.75
just,just,7915035.6
force,f,86070864.68
under,u,4887879.61
too,too,77607617.09
color,c,18631922.28
firm,firm,47132695.04
home,home,89428102.12
near,near,18619589.27
a,a,21399205.55
follow,f,79780210.13
certain,c,67599511.75
while,w,35648670.02
chance,c,94327954.76
happen,h,53426873.56
I,I,38785369.47
notice,n,82561524.54
not,not,77173820.91
available,a,44898036.76
sort,sort,81684018.66
others,o,85695007.96
